Treatment,Compound,log2FC
Organic sulfonic acids and derivatives,Ergoline and derivatives,
Organic sulfuric acids and derivatives,Ergoline and derivatives,
Organochlorides,Ergoline and derivatives,
Organonitrogen compounds,Ergoline and derivatives,
Organooxygen compounds,Ergoline and derivatives,
Other mixed metal/non-metal oxoanionic compounds,Ergoline and derivatives,
Oxanes,Ergoline and derivatives,
Oxepanes,Ergoline and derivatives,
Oxocins,Ergoline and derivatives,
Peptidomimetics,Ergoline and derivatives,
Perylenequinones,Ergoline and derivatives,
Phenanthrenes and derivatives,Ergoline and derivatives,
Phenol esters,Ergoline and derivatives,
Phenol ethers,Ergoline and derivatives,
Phenols,Ergoline and derivatives,
Phenylpropanoic acids,Ergoline and derivatives,
Piperidines,Ergoline and derivatives,
Plumeran-type alkaloids,Ergoline and derivatives,
Polycyclic hydrocarbons,Ergoline and derivatives,
Prenol lipids,Ergoline and derivatives,
Processing_1,Ergoline and derivatives,
Processing_2,Ergoline and derivatives,
Processing_3,Ergoline and derivatives,
Processing_4,Ergoline and derivatives,
Pteridines and derivatives,Ergoline and derivatives,
Purine nucleosides,Ergoline and derivatives,
Pyrans,Ergoline and derivatives,
Pyridines and derivatives,Ergoline and derivatives,
Pyridopyrimidines,Ergoline and derivatives,
Pyrimidine nucleosides,Ergoline and derivatives,
Pyrroles,Ergoline and derivatives,
Pyrrolidines,Ergoline and derivatives,
Pyrrolines,Ergoline and derivatives,
Pyrrolizidines,Ergoline and derivatives,
Pyrrolizines,Ergoline and derivatives,
Quinolines and derivatives,Ergoline and derivatives,
Quinolizidines,Ergoline and derivatives,
Quinolizines,Ergoline and derivatives,
Saccharolipids,Ergoline and derivatives,
"Saxitoxins, gonyautoxins, and derivatives",Ergoline and derivatives,
Sphingolipids,Ergoline and derivatives,
Steroids and steroid derivatives,Ergoline and derivatives,
Stilbenes,Ergoline and derivatives,
Strychnos alkaloids,Ergoline and derivatives,
Sulfoxides,Ergoline and derivatives,
Tannins,Ergoline and derivatives,
Tetrahydrofurans,Ergoline and derivatives,
Tetrahydroisoquinolines,Ergoline and derivatives,
Tetralins,Ergoline and derivatives,
Tetrapyrroles and derivatives,Ergoline and derivatives,
Thiazinanes,Ergoline and derivatives,
Thiosulfinic acid esters,Ergoline and derivatives,
Trithiolanes,Ergoline and derivatives,
Tropane alkaloids,Ergoline and derivatives,
Tropones,Ergoline and derivatives,
Unclassified,Ergoline and derivatives,
Unsaturated hydrocarbons,Ergoline and derivatives,
Vinylogous acids,Ergoline and derivatives,
2-arylbenzofuran flavonoids,Furans,
5'-deoxyribonucleosides,Furans,
Acenaphthylenes,Furans,
Acyl halides,Furans,
"Allyl-type 1,3-dipolar organic compounds",Furans,
Amaryllidaceae alkaloids,Furans,
Angucyclines,Furans,
Anthracenes,Furans,
Aporphines,Furans,
Arylnaphthalene lignans,Furans,
Aryltetralin lignans,Furans,
Aspidofractine alkaloids,Furans,
Aspidospermatan-type alkaloids,Furans,
Azaphilones,Furans,
Azaspirodecane derivatives,Furans,
Azepanes,Furans,
Azepines,Furans,
Azetidines,Furans,
Azoles,Furans,
Azolidines,Furans,
Benzazepines,Furans,
Benzene and substituted derivatives,Furans,
Benzodiazepines,Furans,
Benzodioxoles,Furans,
Benzofurans,Furans,
Benzophenanthridine alkaloids,Furans,
Benzopyrans,Furans,
Benzothiazoles,Furans,
Benzoxazines,Furans,
Benzoxepines,Furans,
Bi- and oligothiophenes,Furans,
Carboximidic acids and derivatives,Furans,
Carboxylic acids and derivatives,Furans,
Cinnamic acids and derivatives,Furans,
Coumarins and derivatives,Furans,
Cycloheptapyrans,Furans,
Daphniphylline-type alkaloids,Furans,
Depsides and depsidones,Furans,
Diarylheptanoids,Furans,
Diazanaphthalenes,Furans,
Diazines,Furans,
Dibenzylbutane lignans,Furans,
Dihydrofurans,Furans,
Dihydroisoquinolines,Furans,
Dioxanes,Furans,
Ergoline and derivatives,Furans,
Fatty Acyls,Furans,
Flavonoids,Furans,
Fluorenes,Furans,
Furanoid lignans,Furans,
Furans,Furans,
Furofurans,Furans,
Furopyrans,Furans,
Gelsemium alkaloids,Furans,
Glycerolipids,Furans,
Glycerophospholipids,Furans,
Harmala alkaloids,Furans,
Heteroaromatic compounds,Furans,
Hydroxy acids and derivatives,Furans,
Imidazodiazepines,Furans,
Imidazopyrimidines,Furans,
Indanes,Furans,
Indoles and derivatives,Furans,
Indolizidines,Furans,
Indolonaphthyridine alkaloids,Furans,
Isobenzofurans,Furans,
Isocoumarans,Furans,
Isocoumarins and derivatives,Furans,
Isoflavonoids,Furans,
Isoindoles and derivatives,Furans,
Isoquinolines and derivatives,Furans,
Keto acids and derivatives,Furans,
Lactams,Furans,
Lactones,Furans,
"Linear 1,3-diarylpropanoids",Furans,
Lupin alkaloids,Furans,
Macrolactams,Furans,
Macrolide lactams,Furans,
Macrolides and analogues,Furans,
Naphthacenes,Furans,
Naphthalenes,Furans,
Naphthofurans,Furans,
Naphthopyrans,Furans,
Neoflavonoids,Furans,
Organic carbonic acids and derivatives,Furans,
Organic oxides,Furans,
Organic phosphonic acids and derivatives,Furans,
Organic phosphoric acids and derivatives,Furans,
Organic sulfonic acids and derivatives,Furans,
Organic sulfuric acids and derivatives,Furans,
Organochlorides,Furans,
Organonitrogen compounds,Furans,
Organooxygen compounds,Furans,
Other mixed metal/non-metal oxoanionic compounds,Furans,
Oxanes,Furans,
Oxepanes,Furans,
Oxocins,Furans,
Peptidomimetics,Furans,
Perylenequinones,Furans,
Phenanthrenes and derivatives,Furans,
Phenol esters,Furans,
Phenol ethers,Furans,
Phenols,Furans,
Phenylpropanoic acids,Furans,
Piperidines,Furans,
Plumeran-type alkaloids,Furans,
Polycyclic hydrocarbons,Furans,
Prenol lipids,Furans,
Processing_1,Furans,
Processing_2,Furans,
Processing_3,Furans,
Processing_4,Furans,
Pteridines and derivatives,Furans,
Purine nucleosides,Furans,
Pyrans,Furans,
Pyridines and derivatives,Furans,
Pyridopyrimidines,Furans,
Pyrimidine nucleosides,Furans,
Pyrroles,Furans,
Pyrrolidines,Furans,
Pyrrolines,Furans,
Pyrrolizidines,Furans,
Pyrrolizines,Furans,
Quinolines and derivatives,Furans,
Quinolizidines,Furans,
Quinolizines,Furans,
Saccharolipids,Furans,
"Saxitoxins, gonyautoxins, and derivatives",Furans,
Sphingolipids,Furans,
Steroids and steroid derivatives,Furans,
Stilbenes,Furans,
Strychnos alkaloids,Furans,
Sulfoxides,Furans,
Tannins,Furans,
Tetrahydrofurans,Furans,
Tetrahydroisoquinolines,Furans,
Tetralins,Furans,
Tetrapyrroles and derivatives,Furans,
Thiazinanes,Furans,
Thiosulfinic acid esters,Furans,
Trithiolanes,Furans,
Tropane alkaloids,Furans,
Tropones,Furans,
Unclassified,Furans,
Unsaturated hydrocarbons,Furans,
Vinylogous acids,Furans,
2-arylbenzofuran flavonoids,Furopyrans,
5'-deoxyribonucleosides,Furopyrans,
Acenaphthylenes,Furopyrans,
Acyl halides,Furopyrans,
"Allyl-type 1,3-dipolar organic compounds",Furopyrans,
Amaryllidaceae alkaloids,Furopyrans,
Angucyclines,Furopyrans,
Anthracenes,Furopyrans,
Aporphines,Furopyrans,
Arylnaphthalene lignans,Furopyrans,
Aryltetralin lignans,Furopyrans,
Aspidofractine alkaloids,Furopyrans,
Aspidospermatan-type alkaloids,Furopyrans,
Azaphilones,Furopyrans,
Azaspirodecane derivatives,Furopyrans,
Azepanes,Furopyrans,
Azepines,Furopyrans,
Azetidines,Furopyrans,
Azoles,Furopyrans,
Azolidines,Furopyrans,
Benzazepines,Furopyrans,
Benzene and substituted derivatives,Furopyrans,
Benzodiazepines,Furopyrans,
Benzodioxoles,Furopyrans,
Benzofurans,Furopyrans,
Benzophenanthridine alkaloids,Furopyrans,
Benzopyrans,Furopyrans,
Benzothiazoles,Furopyrans,
Benzoxazines,Furopyrans,
Benzoxepines,Furopyrans,
Bi- and oligothiophenes,Furopyrans,
Carboximidic acids and derivatives,Furopyrans,
Carboxylic acids and derivatives,Furopyrans,
Cinnamic acids and derivatives,Furopyrans,
Coumarins and derivatives,Furopyrans,
Cycloheptapyrans,Furopyrans,
Daphniphylline-type alkaloids,Furopyrans,
Depsides and depsidones,Furopyrans,
Diarylheptanoids,Furopyrans,
Diazanaphthalenes,Furopyrans,
Diazines,Furopyrans,
Dibenzylbutane lignans,Furopyrans,
Dihydrofurans,Furopyrans,
Dihydroisoquinolines,Furopyrans,
Dioxanes,Furopyrans,
Ergoline and derivatives,Furopyrans,
Fatty Acyls,Furopyrans,
Flavonoids,Furopyrans,
Fluorenes,Furopyrans,
Furanoid lignans,Furopyrans,
Furans,Furopyrans,
Furofurans,Furopyrans,
Furopyrans,Furopyrans,
Gelsemium alkaloids,Furopyrans,
Glycerolipids,Furopyrans,
Glycerophospholipids,Furopyrans,
Harmala alkaloids,Furopyrans,
Heteroaromatic compounds,Furopyrans,
Hydroxy acids and derivatives,Furopyrans,
Imidazodiazepines,Furopyrans,
Imidazopyrimidines,Furopyrans,
Indanes,Furopyrans,
Indoles and derivatives,Furopyrans,
Indolizidines,Furopyrans,
Indolonaphthyridine alkaloids,Furopyrans,
Isobenzofurans,Furopyrans,
Isocoumarans,Furopyrans,
Isocoumarins and derivatives,Furopyrans,
Isoflavonoids,Furopyrans,
Isoindoles and derivatives,Furopyrans,
Isoquinolines and derivatives,Furopyrans,
Keto acids and derivatives,Furopyrans,
Lactams,Furopyrans,
Lactones,Furopyrans,
"Linear 1,3-diarylpropanoids",Furopyrans,
Lupin alkaloids,Furopyrans,
Macrolactams,Furopyrans,
Macrolide lactams,Furopyrans,
Macrolides and analogues,Furopyrans,
Naphthacenes,Furopyrans,
Naphthalenes,Furopyrans,
Naphthofurans,Furopyrans,
Naphthopyrans,Furopyrans,
Neoflavonoids,Furopyrans,
Organic carbonic acids and derivatives,Furopyrans,
Organic oxides,Furopyrans,
Organic phosphonic acids and derivatives,Furopyrans,
Organic phosphoric acids and derivatives,Furopyrans,
Organic sulfonic acids and derivatives,Furopyrans,
Organic sulfuric acids and derivatives,Furopyrans,
Organochlorides,Furopyrans,
Organonitrogen compounds,Furopyrans,
Organooxygen compounds,Furopyrans,
Other mixed metal/non-metal oxoanionic compounds,Furopyrans,
Oxanes,Furopyrans,
Oxepanes,Furopyrans,
Oxocins,Furopyrans,
Peptidomimetics,Furopyrans,
Perylenequinones,Furopyrans,
Phenanthrenes and derivatives,Furopyrans,
Phenol esters,Furopyrans,
Phenol ethers,Furopyrans,
Phenols,Furopyrans,
Phenylpropanoic acids,Furopyrans,
Piperidines,Furopyrans,
Plumeran-type alkaloids,Furopyrans,
Polycyclic hydrocarbons,Furopyrans,
Prenol lipids,Furopyrans,
Processing_1,Furopyrans,
Processing_2,Furopyrans,
Processing_3,Furopyrans,
Processing_4,Furopyrans,
Pteridines and derivatives,Furopyrans,
Purine nucleosides,Furopyrans,
Pyrans,Furopyrans,
Pyridines and derivatives,Furopyrans,
Pyridopyrimidines,Furopyrans,
Pyrimidine nucleosides,Furopyrans,
Pyrroles,Furopyrans,
Pyrrolidines,Furopyrans,
Pyrrolines,Furopyrans,
Pyrrolizidines,Furopyrans,
Pyrrolizines,Furopyrans,
Quinolines and derivatives,Furopyrans,
Quinolizidines,Furopyrans,
Quinolizines,Furopyrans,
Saccharolipids,Furopyrans,
"Saxitoxins, gonyautoxins, and derivatives",Furopyrans,
Sphingolipids,Furopyrans,
Steroids and steroid derivatives,Furopyrans,
Stilbenes,Furopyrans,
Strychnos alkaloids,Furopyrans,
Sulfoxides,Furopyrans,
Tannins,Furopyrans,
Tetrahydrofurans,Furopyrans,
Tetrahydroisoquinolines,Furopyrans,
Tetralins,Furopyrans,
Tetrapyrroles and derivatives,Furopyrans,
Thiazinanes,Furopyrans,
Thiosulfinic acid esters,Furopyrans,
Trithiolanes,Furopyrans,
Tropane alkaloids,Furopyrans,
Tropones,Furopyrans,
Unclassified,Furopyrans,
Unsaturated hydrocarbons,Furopyrans,
Vinylogous acids,Furopyrans,
2-arylbenzofuran flavonoids,Indolonaphthyridine alkaloids,
5'-deoxyribonucleosides,Indolonaphthyridine alkaloids,
Acenaphthylenes,Indolonaphthyridine alkaloids,
Acyl halides,Indolonaphthyridine alkaloids,
"Allyl-type 1,3-dipolar organic compounds",Indolonaphthyridine alkaloids,
Amaryllidaceae alkaloids,Indolonaphthyridine alkaloids,
Angucyclines,Indolonaphthyridine alkaloids,
Anthracenes,Indolonaphthyridine alkaloids,
Aporphines,Indolonaphthyridine alkaloids,
Arylnaphthalene lignans,Indolonaphthyridine alkaloids,
Aryltetralin lignans,Indolonaphthyridine alkaloids,
Aspidofractine alkaloids,Indolonaphthyridine alkaloids,
Aspidospermatan-type alkaloids,Indolonaphthyridine alkaloids,
Azaphilones,Indolonaphthyridine alkaloids,
Azaspirodecane derivatives,Indolonaphthyridine alkaloids,
Azepanes,Indolonaphthyridine alkaloids,
Azepines,Indolonaphthyridine alkaloids,
Azetidines,Indolonaphthyridine alkaloids,
Azoles,Indolonaphthyridine alkaloids,
Azolidines,Indolonaphthyridine alkaloids,
Benzazepines,Indolonaphthyridine alkaloids,
Benzene and substituted derivatives,Indolonaphthyridine alkaloids,
Benzodiazepines,Indolonaphthyridine alkaloids,
Benzodioxoles,Indolonaphthyridine alkaloids,
Benzofurans,Indolonaphthyridine alkaloids,
Benzophenanthridine alkaloids,Indolonaphthyridine alkaloids,
Benzopyrans,Indolonaphthyridine alkaloids,
Benzothiazoles,Indolonaphthyridine alkaloids,
Benzoxazines,Indolonaphthyridine alkaloids,
Benzoxepines,Indolonaphthyridine alkaloids,
Bi- and oligothiophenes,Indolonaphthyridine alkaloids,
Carboximidic acids and derivatives,Indolonaphthyridine alkaloids,
Carboxylic acids and derivatives,Indolonaphthyridine alkaloids,
Cinnamic acids and derivatives,Indolonaphthyridine alkaloids,
Coumarins and derivatives,Indolonaphthyridine alkaloids,
Cycloheptapyrans,Indolonaphthyridine alkaloids,
Daphniphylline-type alkaloids,Indolonaphthyridine alkaloids,
Depsides and depsidones,Indolonaphthyridine alkaloids,
Diarylheptanoids,Indolonaphthyridine alkaloids,
Diazanaphthalenes,Indolonaphthyridine alkaloids,
Diazines,Indolonaphthyridine alkaloids,
Dibenzylbutane lignans,Indolonaphthyridine alkaloids,
Dihydrofurans,Indolonaphthyridine alkaloids,
Dihydroisoquinolines,Indolonaphthyridine alkaloids,
Dioxanes,Indolonaphthyridine alkaloids,
Ergoline and derivatives,Indolonaphthyridine alkaloids,
Fatty Acyls,Indolonaphthyridine alkaloids,
Flavonoids,Indolonaphthyridine alkaloids,
Fluorenes,Indolonaphthyridine alkaloids,
Furanoid lignans,Indolonaphthyridine alkaloids,
Furans,Indolonaphthyridine alkaloids,
Furofurans,Indolonaphthyridine alkaloids,
Furopyrans,Indolonaphthyridine alkaloids,
Gelsemium alkaloids,Indolonaphthyridine alkaloids,
Glycerolipids,Indolonaphthyridine alkaloids,
Glycerophospholipids,Indolonaphthyridine alkaloids,
Harmala alkaloids,Indolonaphthyridine alkaloids,
Heteroaromatic compounds,Indolonaphthyridine alkaloids,
Hydroxy acids and derivatives,Indolonaphthyridine alkaloids,
Imidazodiazepines,Indolonaphthyridine alkaloids,
Imidazopyrimidines,Indolonaphthyridine alkaloids,
Indanes,Indolonaphthyridine alkaloids,
Indoles and derivatives,Indolonaphthyridine alkaloids,
Indolizidines,Indolonaphthyridine alkaloids,
Indolonaphthyridine alkaloids,Indolonaphthyridine alkaloids,
Isobenzofurans,Indolonaphthyridine alkaloids,
Isocoumarans,Indolonaphthyridine alkaloids,
Isocoumarins and derivatives,Indolonaphthyridine alkaloids,
Isoflavonoids,Indolonaphthyridine alkaloids,
Isoindoles and derivatives,Indolonaphthyridine alkaloids,
Isoquinolines and derivatives,Indolonaphthyridine alkaloids,
Keto acids and derivatives,Indolonaphthyridine alkaloids,
Lactams,Indolonaphthyridine alkaloids,
Lactones,Indolonaphthyridine alkaloids,
"Linear 1,3-diarylpropanoids",Indolonaphthyridine alkaloids,
Lupin alkaloids,Indolonaphthyridine alkaloids,
Macrolactams,Indolonaphthyridine alkaloids,
Macrolide lactams,Indolonaphthyridine alkaloids,
Macrolides and analogues,Indolonaphthyridine alkaloids,
Naphthacenes,Indolonaphthyridine alkaloids,
Naphthalenes,Indolonaphthyridine alkaloids,
Naphthofurans,Indolonaphthyridine alkaloids,
Naphthopyrans,Indolonaphthyridine alkaloids,
Neoflavonoids,Indolonaphthyridine alkaloids,
Organic carbonic acids and derivatives,Indolonaphthyridine alkaloids,
Organic oxides,Indolonaphthyridine alkaloids,
Organic phosphonic acids and derivatives,Indolonaphthyridine alkaloids,
Organic phosphoric acids and derivatives,Indolonaphthyridine alkaloids,
Organic sulfonic acids and derivatives,Indolonaphthyridine alkaloids,
Organic sulfuric acids and derivatives,Indolonaphthyridine alkaloids,
Organochlorides,Indolonaphthyridine alkaloids,
Organonitrogen compounds,Indolonaphthyridine alkaloids,
Organooxygen compounds,Indolonaphthyridine alkaloids,
Other mixed metal/non-metal oxoanionic compounds,Indolonaphthyridine alkaloids,
Oxanes,Indolonaphthyridine alkaloids,
Oxepanes,Indolonaphthyridine alkaloids,
Oxocins,Indolonaphthyridine alkaloids,
Peptidomimetics,Indolonaphthyridine alkaloids,
Perylenequinones,Indolonaphthyridine alkaloids,
Phenanthrenes and derivatives,Indolonaphthyridine alkaloids,
Phenol esters,Indolonaphthyridine alkaloids,
Phenol ethers,Indolonaphthyridine alkaloids,
Phenols,Indolonaphthyridine alkaloids,
Phenylpropanoic acids,Indolonaphthyridine alkaloids,
Piperidines,Indolonaphthyridine alkaloids,
Plumeran-type alkaloids,Indolonaphthyridine alkaloids,
Polycyclic hydrocarbons,Indolonaphthyridine alkaloids,
Prenol lipids,Indolonaphthyridine alkaloids,
Processing_1,Indolonaphthyridine alkaloids,
Processing_2,Indolonaphthyridine alkaloids,
Processing_3,Indolonaphthyridine alkaloids,
Processing_4,Indolonaphthyridine alkaloids,
Pteridines and derivatives,Indolonaphthyridine alkaloids,
Purine nucleosides,Indolonaphthyridine alkaloids,
Pyrans,Indolonaphthyridine alkaloids,
Pyridines and derivatives,Indolonaphthyridine alkaloids,
Pyridopyrimidines,Indolonaphthyridine alkaloids,
Pyrimidine nucleosides,Indolonaphthyridine alkaloids,
Pyrroles,Indolonaphthyridine alkaloids,
Pyrrolidines,Indolonaphthyridine alkaloids,
Pyrrolines,Indolonaphthyridine alkaloids,
Pyrrolizidines,Indolonaphthyridine alkaloids,
Pyrrolizines,Indolonaphthyridine alkaloids,
Quinolines and derivatives,Indolonaphthyridine alkaloids,
Quinolizidines,Indolonaphthyridine alkaloids,
Quinolizines,Indolonaphthyridine alkaloids,
Saccharolipids,Indolonaphthyridine alkaloids,
"Saxitoxins, gonyautoxins, and derivatives",Indolonaphthyridine alkaloids,
Sphingolipids,Indolonaphthyridine alkaloids,
Steroids and steroid derivatives,Indolonaphthyridine alkaloids,
Stilbenes,Indolonaphthyridine alkaloids,
Strychnos alkaloids,Indolonaphthyridine alkaloids,
Sulfoxides,Indolonaphthyridine alkaloids,
Tannins,Indolonaphthyridine alkaloids,
Tetrahydrofurans,Indolonaphthyridine alkaloids,
Tetrahydroisoquinolines,Indolonaphthyridine alkaloids,
Tetralins,Indolonaphthyridine alkaloids,
Tetrapyrroles and derivatives,Indolonaphthyridine alkaloids,
Thiazinanes,Indolonaphthyridine alkaloids,
Thiosulfinic acid esters,Indolonaphthyridine alkaloids,
Trithiolanes,Indolonaphthyridine alkaloids,
Tropane alkaloids,Indolonaphthyridine alkaloids,
Tropones,Indolonaphthyridine alkaloids,
Unclassified,Indolonaphthyridine alkaloids,
Unsaturated hydrocarbons,Indolonaphthyridine alkaloids,
Vinylogous acids,Indolonaphthyridine alkaloids,
2-arylbenzofuran flavonoids,Isobenzofurans,
5'-deoxyribonucleosides,Isobenzofurans,
Acenaphthylenes,Isobenzofurans,
Acyl halides,Isobenzofurans,
"Allyl-type 1,3-dipolar organic compounds",Isobenzofurans,
Amaryllidaceae alkaloids,Isobenzofurans,
Angucyclines,Isobenzofurans,
Anthracenes,Isobenzofurans,
Aporphines,Isobenzofurans,
Arylnaphthalene lignans,Isobenzofurans,
Aryltetralin lignans,Isobenzofurans,
Aspidofractine alkaloids,Isobenzofurans,
Aspidospermatan-type alkaloids,Isobenzofurans,
Azaphilones,Isobenzofurans,
Azaspirodecane derivatives,Isobenzofurans,
Azepanes,Isobenzofurans,
Azepines,Isobenzofurans,
Azetidines,Isobenzofurans,
Azoles,Isobenzofurans,
Azolidines,Isobenzofurans,
Benzazepines,Isobenzofurans,
Benzene and substituted derivatives,Isobenzofurans,
Benzodiazepines,Isobenzofurans,
Benzodioxoles,Isobenzofurans,
Benzofurans,Isobenzofurans,
Benzophenanthridine alkaloids,Isobenzofurans,
Benzopyrans,Isobenzofurans,
Benzothiazoles,Isobenzofurans,
Benzoxazines,Isobenzofurans,
Benzoxepines,Isobenzofurans,
Bi- and oligothiophenes,Isobenzofurans,
Carboximidic acids and derivatives,Isobenzofurans,
Carboxylic acids and derivatives,Isobenzofurans,
Cinnamic acids and derivatives,Isobenzofurans,
Coumarins and derivatives,Isobenzofurans,
Cycloheptapyrans,Isobenzofurans,
Daphniphylline-type alkaloids,Isobenzofurans,
Depsides and depsidones,Isobenzofurans,
Diarylheptanoids,Isobenzofurans,
Diazanaphthalenes,Isobenzofurans,
Diazines,Isobenzofurans,
Dibenzylbutane lignans,Isobenzofurans,
Dihydrofurans,Isobenzofurans,
Dihydroisoquinolines,Isobenzofurans,
Dioxanes,Isobenzofurans,
Ergoline and derivatives,Isobenzofurans,
Fatty Acyls,Isobenzofurans,
Flavonoids,Isobenzofurans,
Fluorenes,Isobenzofurans,
Furanoid lignans,Isobenzofurans,
Furans,Isobenzofurans,
Furofurans,Isobenzofurans,
Furopyrans,Isobenzofurans,
Gelsemium alkaloids,Isobenzofurans,
Glycerolipids,Isobenzofurans,
Glycerophospholipids,Isobenzofurans,
Harmala alkaloids,Isobenzofurans,
Heteroaromatic compounds,Isobenzofurans,
Hydroxy acids and derivatives,Isobenzofurans,
Imidazodiazepines,Isobenzofurans,
Imidazopyrimidines,Isobenzofurans,
Indanes,Isobenzofurans,
Indoles and derivatives,Isobenzofurans,
Indolizidines,Isobenzofurans,
Indolonaphthyridine alkaloids,Isobenzofurans,
Isobenzofurans,Isobenzofurans,
Isocoumarans,Isobenzofurans,
Isocoumarins and derivatives,Isobenzofurans,
Isoflavonoids,Isobenzofurans,
Isoindoles and derivatives,Isobenzofurans,
Isoquinolines and derivatives,Isobenzofurans,
Keto acids and derivatives,Isobenzofurans,
Lactams,Isobenzofurans,
Lactones,Isobenzofurans,
"Linear 1,3-diarylpropanoids",Isobenzofurans,
Lupin alkaloids,Isobenzofurans,
Macrolactams,Isobenzofurans,
Macrolide lactams,Isobenzofurans,
Macrolides and analogues,Isobenzofurans,
Naphthacenes,Isobenzofurans,
Naphthalenes,Isobenzofurans,
Naphthofurans,Isobenzofurans,
Naphthopyrans,Isobenzofurans,
Neoflavonoids,Isobenzofurans,
Organic carbonic acids and derivatives,Isobenzofurans,
Organic oxides,Isobenzofurans,
Organic phosphonic acids and derivatives,Isobenzofurans,
Organic phosphoric acids and derivatives,Isobenzofurans,
Organic sulfonic acids and derivatives,Isobenzofurans,
Organic sulfuric acids and derivatives,Isobenzofurans,
Organochlorides,Isobenzofurans,
Organonitrogen compounds,Isobenzofurans,
Organooxygen compounds,Isobenzofurans,
Other mixed metal/non-metal oxoanionic compounds,Isobenzofurans,
Oxanes,Isobenzofurans,
Oxepanes,Isobenzofurans,
Oxocins,Isobenzofurans,
Peptidomimetics,Isobenzofurans,
Perylenequinones,Isobenzofurans,
Phenanthrenes and derivatives,Isobenzofurans,
Phenol esters,Isobenzofurans,
Phenol ethers,Isobenzofurans,
Phenols,Isobenzofurans,
Phenylpropanoic acids,Isobenzofurans,
Piperidines,Isobenzofurans,
Plumeran-type alkaloids,Isobenzofurans,
Polycyclic hydrocarbons,Isobenzofurans,
Prenol lipids,Isobenzofurans,
Processing_1,Isobenzofurans,
Processing_2,Isobenzofurans,
Processing_3,Isobenzofurans,
Processing_4,Isobenzofurans,
Pteridines and derivatives,Isobenzofurans,
Purine nucleosides,Isobenzofurans,
Pyrans,Isobenzofurans,
Pyridines and derivatives,Isobenzofurans,
Pyridopyrimidines,Isobenzofurans,
Pyrimidine nucleosides,Isobenzofurans,
Pyrroles,Isobenzofurans,
Pyrrolidines,Isobenzofurans,
Pyrrolines,Isobenzofurans,
Pyrrolizidines,Isobenzofurans,
Pyrrolizines,Isobenzofurans,
Quinolines and derivatives,Isobenzofurans,
Quinolizidines,Isobenzofurans,
Quinolizines,Isobenzofurans,
Saccharolipids,Isobenzofurans,
"Saxitoxins, gonyautoxins, and derivatives",Isobenzofurans,
Sphingolipids,Isobenzofurans,
Steroids and steroid derivatives,Isobenzofurans,
Stilbenes,Isobenzofurans,
Strychnos alkaloids,Isobenzofurans,
Sulfoxides,Isobenzofurans,
Tannins,Isobenzofurans,
Tetrahydrofurans,Isobenzofurans,
Tetrahydroisoquinolines,Isobenzofurans,
Tetralins,Isobenzofurans,
Tetrapyrroles and derivatives,Isobenzofurans,
Thiazinanes,Isobenzofurans,
Thiosulfinic acid esters,Isobenzofurans,
Trithiolanes,Isobenzofurans,
Tropane alkaloids,Isobenzofurans,
Tropones,Isobenzofurans,
Unclassified,Isobenzofurans,
Unsaturated hydrocarbons,Isobenzofurans,
Vinylogous acids,Isobenzofurans,
2-arylbenzofuran flavonoids,Isocoumarans,
5'-deoxyribonucleosides,Isocoumarans,
Acenaphthylenes,Isocoumarans,
Acyl halides,Isocoumarans,
"Allyl-type 1,3-dipolar organic compounds",Isocoumarans,
Amaryllidaceae alkaloids,Isocoumarans,
Angucyclines,Isocoumarans,
Anthracenes,Isocoumarans,
Aporphines,Isocoumarans,
Arylnaphthalene lignans,Isocoumarans,
Aryltetralin lignans,Isocoumarans,
Aspidofractine alkaloids,Isocoumarans,
Aspidospermatan-type alkaloids,Isocoumarans,
Azaphilones,Isocoumarans,
Azaspirodecane derivatives,Isocoumarans,
Azepanes,Isocoumarans,
Azepines,Isocoumarans,
Azetidines,Isocoumarans,
Azoles,Isocoumarans,
Azolidines,Isocoumarans,
Benzazepines,Isocoumarans,
Benzene and substituted derivatives,Isocoumarans,
Benzodiazepines,Isocoumarans,
Benzodioxoles,Isocoumarans,
Benzofurans,Isocoumarans,
Benzophenanthridine alkaloids,Isocoumarans,
Benzopyrans,Isocoumarans,
Benzothiazoles,Isocoumarans,
Benzoxazines,Isocoumarans,
Benzoxepines,Isocoumarans,
Bi- and oligothiophenes,Isocoumarans,
Carboximidic acids and derivatives,Isocoumarans,
Carboxylic acids and derivatives,Isocoumarans,
Cinnamic acids and derivatives,Isocoumarans,
Coumarins and derivatives,Isocoumarans,
Cycloheptapyrans,Isocoumarans,
Daphniphylline-type alkaloids,Isocoumarans,
Depsides and depsidones,Isocoumarans,
Diarylheptanoids,Isocoumarans,
Diazanaphthalenes,Isocoumarans,
Diazines,Isocoumarans,
Dibenzylbutane lignans,Isocoumarans,
Dihydrofurans,Isocoumarans,
Dihydroisoquinolines,Isocoumarans,
Dioxanes,Isocoumarans,
Ergoline and derivatives,Isocoumarans,
Fatty Acyls,Isocoumarans,
Flavonoids,Isocoumarans,
Fluorenes,Isocoumarans,
Furanoid lignans,Isocoumarans,
Furans,Isocoumarans,
Furofurans,Isocoumarans,
Furopyrans,Isocoumarans,
Gelsemium alkaloids,Isocoumarans,
Glycerolipids,Isocoumarans,
Glycerophospholipids,Isocoumarans,
Harmala alkaloids,Isocoumarans,
